,acc,accuracy,average_response_time,avg_rt,bg,correct,correct_keyboard_response,count_exp,count_keyboard_response,count_sequence,response_keyboard_response,response_time_keyboard_response,soa,t1first_resp,t1lum,t1ori,t1right,t2lum,t2ori,time_exp,time_keyboard_response,time_sequence,condition
0,85.7142857143,85.7142857143,543.36083021,543.36083021,,1.0,1.0,0.0,55.0,9.0,return,1000.70066387,0.0,return,88.0,0.0,True,88.0,0.0,285387.747908,312282.526656,311050.871341,1.0
1,79.7752808989,79.7752808989,612.819007689,612.819007689,,1.0,1.0,0.0,88.0,42.0,return,552.703515251,0.0,return,88.0,0.0,True,88.0,0.0,285387.747908,402833.243642,401561.038486,1.0
2,79.5698924731,79.5698924731,609.667889258,609.667889258,,1.0,1.0,0.0,92.0,46.0,return,564.468973703,-5.0,return,88.0,0.0,True,88.0,0.0,285387.747908,412933.311377,411648.71859,1.0
3,73.3644859813,73.3644859813,619.108875324,619.108875324,,1.0,1.0,0.0,213.0,167.0,lctrl,710.817102572,-5.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,756726.053334,755444.679063,1.0
4,72.4576271186,72.4576271186,614.125940958,614.125940958,,0.0,1.0,0.0,235.0,189.0,lctrl,675.570763681,10.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,812736.493979,811363.634215,1.0
5,72.972972973,72.972972973,613.176608301,613.176608301,,1.0,1.0,0.0,258.0,212.0,return,536.173211094,-10.0,return,88.0,0.0,True,88.0,0.0,285387.747908,877306.984077,875930.952677,1.0
6,72.8301886792,72.8301886792,618.642731857,618.642731857,,1.0,1.0,0.0,264.0,218.0,lctrl,561.771073272,-5.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,894377.126918,893049.843924,1.0
7,72.7272727273,72.7272727273,613.75561903,613.75561903,,1.0,1.0,0.0,296.0,250.0,lctrl,433.905536886,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,979367.77032,978031.845737,1.0
8,72.9372937294,72.9372937294,609.715612429,609.715612429,,1.0,1.0,0.0,302.0,256.0,return,497.599408345,-5.0,return,88.0,0.0,True,88.0,0.0,285387.747908,993687.870114,992360.703642,1.0
9,72.9559748428,72.9559748428,611.292705918,611.292705918,,0.0,1.0,0.0,317.0,271.0,lctrl,468.732636456,10.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,1033228.18832,1031888.40874,1.0
10,72.8915662651,72.8915662651,607.498732505,607.498732505,,1.0,1.0,0.0,331.0,285.0,lctrl,403.982653973,-5.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,1068188.44601,1066903.41117,1.0
11,71.6253443526,71.6253443526,596.367552365,596.367552365,,1.0,1.0,0.0,362.0,316.0,lctrl,361.803850224,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,1166309.22896,1164974.09887,1.0
12,71.9298245614,71.9298245614,584.438357661,584.438357661,,1.0,1.0,0.0,398.0,352.0,lctrl,375.854535185,-10.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,1256349.88403,1254973.58279,1.0
13,72.0,72.0,583.931917268,583.931917268,,0.0,1.0,0.0,399.0,353.0,return,381.862200598,5.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1258679.89765,1257428.71319,1.0
14,72.5961538462,72.5961538462,574.323617952,574.323617952,,1.0,1.0,0.0,415.0,369.0,return,488.975905535,0.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1295780.18287,1294572.59279,1.0
15,73.1764705882,73.1764705882,568.967578765,568.967578765,,0.0,1.0,0.0,424.0,378.0,return,402.533237763,5.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1316730.32931,1315404.24217,1.0
16,73.2101616628,73.2101616628,564.220553824,564.220553824,,0.0,1.0,0.0,432.0,386.0,lctrl,348.113584104,10.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,1335240.48884,1333932.29366,1.0
17,73.3333333333,73.3333333333,562.936941982,562.936941982,,1.0,1.0,0.0,434.0,388.0,return,341.993739186,-10.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1339870.52283,1338531.82113,1.0
18,73.6501079914,73.6501079914,554.083892556,554.083892556,,0.0,1.0,0.0,462.0,416.0,return,408.408994581,5.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1412971.07477,1411650.78063,1.0
19,73.829787234,73.829787234,554.259940599,554.259940599,,1.0,1.0,0.0,469.0,423.0,return,452.011144914,-5.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1431031.21521,1429706.1641,1.0
20,73.8045738046,73.8045738046,555.219730485,555.219730485,,0.0,1.0,0.0,480.0,434.0,lctrl,519.412673921,10.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,1459171.4154,1457794.57195,1.0
21,73.8589211618,73.8589211618,555.551885543,555.551885543,,0.0,1.0,0.0,481.0,435.0,lctrl,715.318468562,0.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,1461631.44428,1460394.13737,1.0
22,73.9669421488,73.9669421488,555.348248622,555.348248622,,1.0,1.0,0.0,483.0,437.0,return,521.249044058,-10.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1466921.48543,1465546.45455,1.0
23,73.7672583826,73.7672583826,550.244753381,550.244753381,,1.0,1.0,0.0,506.0,460.0,return,553.976135763,-10.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1524151.90247,1522816.95989,1.0
24,73.0841121495,73.0841121495,543.611854246,543.611854246,,1.0,1.0,0.0,534.0,488.0,return,568.522241567,-10.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1591792.42126,1590416.48905,1.0
25,73.0129390018,73.0129390018,540.839942777,540.839942777,,0.0,0.0,0.0,540.0,494.0,return,374.212726831,-5.0,lctrl,88.0,0.0,False,88.0,0.0,285387.747908,1605762.53348,1604432.29551,1.0
26,73.0627306273,73.0627306273,540.63936544,540.63936544,,0.0,1.0,0.0,541.0,495.0,return,432.127026283,0.0,return,88.0,0.0,True,88.0,0.0,285387.747908,1608112.55247,1606840.07282,1.0
